DocumentID,DocumentTitle,DocumentURL,Letter Date,Letter Year,PrimaryLanguage,AdditionalLanguage,Author,Recipient,SourceSmallest,SourceCity,SourceState,SourceCountry,Source,DestinationSmallest,DestinationCity,DestinationState,DestinationCountry,Destination
623544,"Poor Richard Improved, 1757",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=074a,1757,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623545,To Peter Collinson,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=094a,1757-1-1,1757,English,,Benjamin Franklin,Peter Collinson,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623546,To William Strahan,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=094b,1757-1-1,1757,English,,Benjamin Franklin,William Strahan,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623547,To Elizabeth Hubbart,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=095a,1757-1-13,1757,English,,Benjamin Franklin,Elizabeth Hubbart Partridge,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Boston,Boston,Massachusetts,America,"Boston, Massachusetts, America"
623548,Memorandum on Allowances for Officers' Quarters,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=096a,1757-1-20,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623549,Timothy Horsfield to the Provincial Commissioners,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=097a,1757-1-21,1757,English,,Timothy Horsfield,Provincial Commissioners,Bethlehem,Bethlehem,Pennsylvania,America,"Bethlehem, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623550,From John Waring,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=098a,1757-1-24,1757,English,,John Waring,Benjamin Franklin,London,London,Greater London,England,"London, Greater London, England",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623551,Provincial Commissioners to William Denny,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=102a,1757-1-25,1757,English,,Provincial Commissioners,William Denny,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623552,Pennsylvania Assembly: Remonstrance to William Denny,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=106a,1757-1-26,1757,English,,Pennsylvania Assembly,William Denny,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623553,"Pennsylvania Assembly: Appointment of Franklin as Agent to Go to England, and His Acceptance",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=109a,1757-1-28,1757,English,,Pennsylvania Assembly,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
