Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
? Alcock,F,N,,,,,,
? Behr,M,N,,,,,,
? Chambers,M,N,,,England,,,England
? Denny,M,N,,,,,,
? Foulger,F,Y,,,England,,,England
? Gros,M,N,,,,,,
? Hasentleuer,M,N,,,,,,
? Hummet,M,N,,,England,,,England
? Jesser,M,N,,,England,,,England
? Kettilby,M,N,,,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
? Leef,M,N,,,,,,
? Lloyd (Female),F,N,,,England,,,England
? Lloyd (Male),M,N,,,England,,,England
? Martin,F,N,,,"Whitehaven, Cumbria, England",Whitehaven,Cumbria,England
? Mead,F,N,,,England,,,England
? Moody,M,N,,,,,,
? Morris,F,N,,,England,,,England
? Peill,M,N,,,Sweden,,,Sweden
? Penington,M,N,,,"Bristol, Bristol, England",Bristol,Bristol,England
? Pomeroy,M,N,,,"London, Greater London, England",London,Greater London,England
? Ralph,F,N,1744,1762,"London, Greater London, England",London,Greater London,England
? Robertson,M,N,,,,,,
? Shervell,M,N,,,England,,,England
? Spence,M,N,,,,,,
? Todd,F,N,,,,,,
? Viny,F,N,,,,,,
? Wood (Female),F,N,,,,,,
? Wood (Male),M,N,,,,,,
Aaron Franks,M,N,1692,1777,England,,,England
Abbot Upcher,M,N,1722,1770,"Sudbury, Suffolk, England",Sudbury,Suffolk,England
Abel James,M,N,1724,1790,,,,
Abraham Hunt,M,N,,,,,,
Académie Royale des Sciences,G,N,,,"Paris, Île-de-France, France",Paris,Île-de-France,France
Adolf Benzelius,M,N,1715,1775,"Uppsala, Sweden",Uppsala,,Sweden
Adrien-Louis de Bonnières de Sousastre,M,N,1735,1806,"Lille, Nord-Pas-de-Calais, France",Lille,Nord-Pas-de-Calais,France
Agatha Drummond,M,N,1711,1795,Scotland,,,Scotland
Albany Committee,G,N,,,"New York, America",,New York,America
Alexander Colden,M,N,1716,1774,"New York, America",,New York,America
Alexander Dalrymple,M,N,1737,1808,Newhailes Scotland,Newhailes,,Scotland
Alexander Dick,M,N,1703,1785,"Edinburgh, Scotland",Edinburgh,,Scotland
Alexander Garden,M,N,1730,1791,"Birse, Aberdeenshire, Scotland",Birse,Aberdeenshire,Scotland
Alexander Gordon,M,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Alexander Jacob,M,N,,1785,England,,,England
Alexander Lunan,M,N,,1770,,,,
Alexander McNutt and Associates,G,N,,,,,,
Alexander Small,M,N,1710,1794,Scotland,,,Scotland
Alexander Wilson,M,N,1714,1786,"St Andrews, Fife, Scotland",St Andrews,Fife,Scotland
Alexis-Janvier La Live de La Briche,M,N,1735,1785,France,,,France
Allen Bathurst,M,N,1684,1775,"London, Greater London, England",London,Greater London,England
Allen England,M,N,,,,,,
Amelia Evans,F,N,1744,,,,,
American Postmasters,G,N,,,,,,
Amos Strettell,M,N,1720,1780,"Dublin, Leinster, Ireland",Dublin,Leinster,Ireland
André Morellet,M,N,1727,1819,"Lyon, Rhône-Alpes, France",Lyon,Rhône-Alpes,France
Andrew Cheap,M,N,1734,1803,,,,
Andrew Millar,M,N,1705,1768,"Port Glasgow, Renfrewshire, Scotland",Port Glasgow,Renfrewshire,Scotland
Andrew Robeson,M,N,1752,1781,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Anna Mordaunt Shipley,F,N,,,England,,,England
Ann Clay,F,N,1723,1789,,,,
Anne Farrow,F,Y,1686,1771,,,,
Anne Johnson Clarke,F,Y,,1805,,,,
Ann Overall,F,N,,,England,,,England
Ann Penn,F,N,,1767,,,,
Anthony Armbruster,M,N,1717,1796,"Mannheim, Germany",Mannheim,,Germany
Anthony Benezet,M,N,1713,1784,"Saint-Quentin, Picardy, France",Saint-Quentin,Picardy,France
Anthony Stickney,M,Y,1748,1819,"Newburyport, Massachusetts, America",Newburyport,Massachusetts,America
Anthony Syddon,M,N,,,"Pennsylvania, America",,Pennsylvania,America
Anthony Tissington,M,N,,,"Derbyshire, England",,Derbyshire,England
Anthony Todd,M,N,1717,1798,"Frosterley, Durham, England",Frosterley,Durham,England
Archibald McGilchrist,M,N,,,"Glasgow, Scotland",Glasgow,,Scotland
Arthur Lee,M,N,1740,1792,"Westmoreland County, Virginia, America",Westmoreland County,Virginia,America
Associates of Dr. Bray,G,N,,,,,,
"Baynton, Wharton & Morgan",G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Benjamin Franklin,M,,1706,1790,"Boston, Massachusetts, America",Boston,Massachusetts,America
Benjamin Gale,M,N,1715,1790,"Jamaica, New York, America",Jamaica,New York,America
Benjamin Humphreys,M,N,,,,,,
